name	type	source	detector	wavelength_nominal	units	sampling_frequency
S1-D1	NIRSCWAMPLITUDE	1	1	685	n/a	7.8125
S2-D1	NIRSCWAMPLITUDE	2	1	685	n/a	7.8125
S3-D1	NIRSCWAMPLITUDE	3	1	685	n/a	7.8125
S4-D1	NIRSCWAMPLITUDE	4	1	685	n/a	7.8125
S7-D1	NIRSCWAMPLITUDE	7	1	685	n/a	7.8125
S8-D1	NIRSCWAMPLITUDE	8	1	685	n/a	7.8125
S9-D1	NIRSCWAMPLITUDE	9	1	685	n/a	7.8125
S10-D1	NIRSCWAMPLITUDE	10	1	685	n/a	7.8125
S13-D1	NIRSCWAMPLITUDE	13	1	685	n/a	7.8125
S14-D1	NIRSCWAMPLITUDE	14	1	685	n/a	7.8125
S15-D1	NIRSCWAMPLITUDE	15	1	685	n/a	7.8125
S16-D1	NIRSCWAMPLITUDE	16	1	685	n/a	7.8125
S19-D1	NIRSCWAMPLITUDE	19	1	685	n/a	7.8125
S20-D1	NIRSCWAMPLITUDE	20	1	685	n/a	7.8125
S21-D1	NIRSCWAMPLITUDE	21	1	685	n/a	7.8125
S25-D1	NIRSCWAMPLITUDE	25	1	685	n/a	7.8125
S26-D1	NIRSCWAMPLITUDE	26	1	685	n/a	7.8125
S1-D2	NIRSCWAMPLITUDE	1	2	685	n/a	7.8125
S2-D2	NIRSCWAMPLITUDE	2	2	685	n/a	7.8125
S3-D2	NIRSCWAMPLITUDE	3	2	685	n/a	7.8125
S4-D2	NIRSCWAMPLITUDE	4	2	685	n/a	7.8125
S5-D2	NIRSCWAMPLITUDE	5	2	685	n/a	7.8125
S7-D2	NIRSCWAMPLITUDE	7	2	685	n/a	7.8125
S8-D2	NIRSCWAMPLITUDE	8	2	685	n/a	7.8125
S9-D2	NIRSCWAMPLITUDE	9	2	685	n/a	7.8125
S10-D2	NIRSCWAMPLITUDE	10	2	685	n/a	7.8125
S11-D2	NIRSCWAMPLITUDE	11	2	685	n/a	7.8125
S13-D2	NIRSCWAMPLITUDE	13	2	685	n/a	7.8125
S14-D2	NIRSCWAMPLITUDE	14	2	685	n/a	7.8125
S15-D2	NIRSCWAMPLITUDE	15	2	685	n/a	7.8125
S16-D2	NIRSCWAMPLITUDE	16	2	685	n/a	7.8125
S17-D2	NIRSCWAMPLITUDE	17	2	685	n/a	7.8125
S19-D2	NIRSCWAMPLITUDE	19	2	685	n/a	7.8125
S20-D2	NIRSCWAMPLITUDE	20	2	685	n/a	7.8125
S21-D2	NIRSCWAMPLITUDE	21	2	685	n/a	7.8125
S22-D2	NIRSCWAMPLITUDE	22	2	685	n/a	7.8125
S23-D2	NIRSCWAMPLITUDE	23	2	685	n/a	7.8125
S25-D2	NIRSCWAMPLITUDE	25	2	685	n/a	7.8125
S26-D2	NIRSCWAMPLITUDE	26	2	685	n/a	7.8125
S27-D2	NIRSCWAMPLITUDE	27	2	685	n/a	7.8125
S1-D3	NIRSCWAMPLITUDE	1	3	685	n/a	7.8125
